source,target,weight
kadarskij darginskij,ginuhskij,0.0
kadarskij darginskij,kadarskij darginskij,0.0
kadarskij darginskij,kajtagskij darginskij,0.0
kadarskij darginskij,karatinskij,0.0
kadarskij darginskij,kubachinskij darginskij,0.0
kadarskij darginskij,kumykskij,0.851063829787234
kadarskij darginskij,lakskij,0.0
kadarskij darginskij,lezginskij,0.0
kadarskij darginskij,megebskij,0.0
kadarskij darginskij,muirinskij darginskij,0.0
kadarskij darginskij,rutul'skij,0.0
kadarskij darginskij,sirhinskij darginskij,0.0
kadarskij darginskij,tabasaranskij,0.0
kadarskij darginskij,tukitinskij,0.0
kadarskij darginskij,hnovskij rutul'skij,0.0
kadarskij darginskij,tsahurskij,0.0
kadarskij darginskij,tsezskij,0.0
kadarskij darginskij,tsudaharskij darginskij,0.0
kadarskij darginskij,chiragskij darginskij,0.0
kajtagskij darginskij,avarskij,0.0
kajtagskij darginskij,agul'skij,0.0
kajtagskij darginskij,azerbajdzhanskij,0.0
kajtagskij darginskij,akushinskij darginskij,0.8026315789473685
kajtagskij darginskij,andijskij,0.0
kajtagskij darginskij,ahvahskij,0.0
kajtagskij darginskij,bagvalinskij,0.0
kajtagskij darginskij,bezhtinskij,0.0
kajtagskij darginskij,gapshiminskij darginskij,0.0
kajtagskij darginskij,gdymsko-fijskij lezginskij,0.0
kajtagskij darginskij,ginuhskij,0.0
kajtagskij darginskij,kadarskij darginskij,0.0
kajtagskij darginskij,kajtagskij darginskij,0.0
kajtagskij darginskij,karatinskij,0.0
kajtagskij darginskij,kubachinskij darginskij,0.0
kajtagskij darginskij,kumykskij,0.0
kajtagskij darginskij,lakskij,0.0
kajtagskij darginskij,lezginskij,0.0
kajtagskij darginskij,megebskij,0.0
kajtagskij darginskij,muirinskij darginskij,0.0
kajtagskij darginskij,rutul'skij,0.0
kajtagskij darginskij,sirhinskij darginskij,0.0
kajtagskij darginskij,tabasaranskij,0.19736842105263158
kajtagskij darginskij,tukitinskij,0.0
kajtagskij darginskij,hnovskij rutul'skij,0.0
kajtagskij darginskij,tsahurskij,0.0
kajtagskij darginskij,tsezskij,0.0
kajtagskij darginskij,tsudaharskij darginskij,0.0
kajtagskij darginskij,chiragskij darginskij,0.0
karatinskij,avarskij,0.9615384615384616
karatinskij,agul'skij,0.0
karatinskij,azerbajdzhanskij,0.0
karatinskij,akushinskij darginskij,0.0
karatinskij,andijskij,0.0
karatinskij,ahvahskij,0.0
karatinskij,bagvalinskij,0.0
karatinskij,bezhtinskij,0.0
karatinskij,gapshiminskij darginskij,0.0
karatinskij,gdymsko-fijskij lezginskij,0.0
karatinskij,ginuhskij,0.0
karatinskij,kadarskij darginskij,0.0
karatinskij,kajtagskij darginskij,0.0
karatinskij,karatinskij,0.0
karatinskij,kubachinskij darginskij,0.0
karatinskij,kumykskij,0.0
karatinskij,lakskij,0.0
karatinskij,lezginskij,0.0
karatinskij,megebskij,0.0
karatinskij,muirinskij darginskij,0.0
karatinskij,rutul'skij,0.0
karatinskij,sirhinskij darginskij,0.0
karatinskij,tabasaranskij,0.0
karatinskij,tukitinskij,0.0
karatinskij,hnovskij rutul'skij,0.0
karatinskij,tsahurskij,0.0
karatinskij,tsezskij,0.0
karatinskij,tsudaharskij darginskij,0.0
karatinskij,chiragskij darginskij,0.0
kubachinskij darginskij,avarskij,0.0
kubachinskij darginskij,agul'skij,0.0
kubachinskij darginskij,azerbajdzhanskij,0.0
kubachinskij darginskij,akushinskij darginskij,0.7441860465116279
kubachinskij darginskij,andijskij,0.0
kubachinskij darginskij,ahvahskij,0.0
kubachinskij darginskij,bagvalinskij,0.0
kubachinskij darginskij,bezhtinskij,0.0
kubachinskij darginskij,gapshiminskij darginskij,0.0
kubachinskij darginskij,gdymsko-fijskij lezginskij,0.0
kubachinskij darginskij,ginuhskij,0.0
kubachinskij darginskij,kadarskij darginskij,0.0
kubachinskij darginskij,kajtagskij darginskij,0.0
kubachinskij darginskij,karatinskij,0.0
kubachinskij darginskij,kubachinskij darginskij,0.0
kubachinskij darginskij,kumykskij,0.05813953488372093
kubachinskij darginskij,lakskij,0.0
kubachinskij darginskij,lezginskij,0.0
kubachinskij darginskij,megebskij,0.0
kubachinskij darginskij,muirinskij darginskij,0.0
kubachinskij darginskij,rutul'skij,0.0
kubachinskij darginskij,sirhinskij darginskij,0.19767441860465115
kubachinskij darginskij,tabasaranskij,0.0
kubachinskij darginskij,tukitinskij,0.0
kubachinskij darginskij,hnovskij rutul'skij,0.0
kubachinskij darginskij,tsahurskij,0.0
kubachinskij darginskij,tsezskij,0.0
kubachinskij darginskij,tsudaharskij darginskij,0.0
kubachinskij darginskij,chiragskij darginskij,0.0
kumykskij,avarskij,0.0
kumykskij,agul'skij,0.0
kumykskij,azerbajdzhanskij,0.0
kumykskij,akushinskij darginskij,0.0
kumykskij,andijskij,0.0
kumykskij,ahvahskij,0.0
kumykskij,bagvalinskij,0.0
kumykskij,bezhtinskij,0.0
kumykskij,gapshiminskij darginskij,0.0
kumykskij,gdymsko-fijskij lezginskij,0.0
kumykskij,ginuhskij,0.0
kumykskij,kadarskij darginskij,0.0
kumykskij,kajtagskij darginskij,0.0
kumykskij,karatinskij,0.0
kumykskij,kubachinskij darginskij,0.0
kumykskij,kumykskij,0.0
kumykskij,lakskij,0.0
kumykskij,lezginskij,0.0
kumykskij,megebskij,0.0
kumykskij,muirinskij darginskij,0.0
kumykskij,rutul'skij,0.0
kumykskij,sirhinskij darginskij,0.0
kumykskij,tabasaranskij,0.0
kumykskij,tukitinskij,0.0
kumykskij,hnovskij rutul'skij,0.0
kumykskij,tsahurskij,0.0
kumykskij,tsezskij,0.0
kumykskij,tsudaharskij darginskij,0.0
kumykskij,chiragskij darginskij,0.0
lakskij,avarskij,1.0
lakskij,agul'skij,0.0
lakskij,azerbajdzhanskij,0.0
lakskij,akushinskij darginskij,0.0
lakskij,andijskij,0.0
lakskij,ahvahskij,0.0
lakskij,bagvalinskij,0.0
lakskij,bezhtinskij,0.0
lakskij,gapshiminskij darginskij,0.0
lakskij,gdymsko-fijskij lezginskij,0.0
lakskij,ginuhskij,0.0
lakskij,kadarskij darginskij,0.0
lakskij,kajtagskij darginskij,0.0
lakskij,karatinskij,0.0
lakskij,kubachinskij darginskij,0.0
lakskij,kumykskij,0.0
lakskij,lakskij,0.0
lakskij,lezginskij,0.0
lakskij,megebskij,0.0
lakskij,muirinskij darginskij,0.0
lakskij,rutul'skij,0.0
lakskij,sirhinskij darginskij,0.0
lakskij,tabasaranskij,0.0
lakskij,tukitinskij,0.0
lakskij,hnovskij rutul'skij,0.0
